articolo_id;frase;entities;grave;latitudine;longitudine;pos
57;A Parma, in via Mantova, una persona su un monopattino è caduta finendo in ospedale Tragedia sfiorata in serata, intorno alle 19,30, in strada Torrione, a Neviano degli Arduini.;via Mantova, strada Torrione, Neviano degli Arduini;1;44.8014036;10.3502122;Via Mantova, San Lazzaro, Vicopò, Parma, Emilia-Romagna, 43123, Italia
58;Rallentamenti tra le uscite di via Traversetolo e di via Montanara Tamponamento a catena tra più veicoli nella mattinata di oggi, martedì 15 novembre, verso le ore 8 lungo la tangenziale Sud in direzione Piacenza.;via Traversetolo, via Montanara, Piacenza;0;44.7748233;10.347106;Via Traversetolo, Cittadella, Marore, Parma, Emilia-Romagna, 43123, Italia
59;Il 24enne era stato assunto da poco da un'azienda di Parma e viveva nella nostra città, lascia una sorella e i genitori Gianpaolo Damato èmortoall'ospedale di Parma dopo essere stato coinvolto in un gravissimoincidentestradale lungo l'autostrada A1 nelle prime ore della mattinata di domenica 13 novembre.;l'autostrada A1;1;44.8137898;10.413487;Autostrada del Sole, Casalbaroncolo, San Lazzaro, Beneceto, Parma, Val d’Enza, Parma, Emilia-Romagna, 43058, Italia
60;Non ce l'ha fatta Gianpaolo Damato, il giovane coinvolto nell'incidente di domenica mattina in A1 all'altezza di Parma Non ce l'ha fatta Gianpaolo Damato, il giovane di 24 anni coinvolto nell'incidentelungo l'autostrada A1 nei pressi del casello di Parma in località Beneceto e poi ricoverato in condizioni critiche nel reparto di Rianimazione dell'Ospedale Maggiore di Parma.;strada A1, Beneceto;1;44.540256;10.1652274;La Strada, Corniglio, Parma, Emilia-Romagna, 43028, Italia
61;L'incidente si è verificato alle 5 di mattina, tutti i ragazzi sono residenti a Parma: uno di loro lotta per la vita Grave incidente stradale nella notte lungo l'autostrada A1 in direzione Milano, vicino al casello di Parma all'altezza del chilometro 116 Nord in località Beneceto.;l'autostrada A1, Milano, Beneceto;1;44.8137898;10.413487;Autostrada del Sole, Casalbaroncolo, San Lazzaro, Beneceto, Parma, Val d’Enza, Parma, Emilia-Romagna, 43058, Italia
62;L'incidente si è verificato dopo le ore 23 del 12 novembre: la vittima è Amine Abdouh Gravissimo incidente stradale lungo la via Emilia poco dopo Fidenza, all'altezza di Parola di Fontanellato.;la via Emilia, Fidenza, Parola di Fontanellato;1;44.8098944;10.3217529;EFSA, 1a, Via Carlo Magno, Cornocchio, Pablo, Parma, Emilia-Romagna, 43126, Italia
64;Rallentamenti al traffico anche tra via Buffolara e via Savani Un incidente stradale si è verificato nella mattinata di mercoledì 9 novembre lungo la tangenziale Nord in direzione Fidenza.;via Buffolara, via Savani, Fidenza;0;44.8101156;10.3146875;Via Primo Savani, Cornocchio, Pablo, Parma, Emilia-Romagna, 43125, Italia
65;L'incidente è avvenuto poco dopo le ore 23 Grave incidente stradale nella serata dell'8 novembre a Sorbolo, lungo via Mantova.;Sorbolo, via Mantova;1;44.8463143;10.4488047;Sorbolo, Sorbolo Mezzani, Parma, Emilia-Romagna, 43058, Italia
67;Nel 2020 era finito in manette per spaccio, l'anno dopo per non aver rispettato l'ordine di espulsione Orjol Lame, il conducente della Fiat Stilo che si èschiantatacontro il muro di un'abitazione lungo la via Emilia, ora indagato peromicidio stradalepoiché si trovava alla guidaubriaco e drogatoal momento dell'incidente era già stato arrestato due volte nel corso degli ultimi due anni.;la via Emilia;1;44.8098944;10.3217529;EFSA, 1a, Via Carlo Magno, Cornocchio, Pablo, Parma, Emilia-Romagna, 43126, Italia
68;I corpi dei parmigiani Rejana e Resat Hyseni, di 8 e 11 anni, della sorella 22enne Shane Hyseni e di suo figlio Mattias Lame di un anno e quattro mesi torneranno nel paese d'origine della famiglia: stamattina il trasferimento da Coviolo, dove è stata allestita la camera ardente, a Bari Le salme delle quattro vittime del gravissimoincidente stradaleavvenuto la sera di domenica 30 ottobre lungo la via Emilia, verranno trasferite, nella mattinata di oggi 3 novembre da Coviolo a Bari, per poi arrivare con un traghetto fino a Durazzo, in Albania.;Coviolo, Bari, la via Emilia, Durazzo, Albania;1;44.7544871;10.2222277;Bari Di Nocera, Viale Giuseppe Saragat, Collecchio, Parma, Emilia-Romagna, 43044, Italia
69;Le analisi effettuate all'ospedale Santa Maria Nuova di Reggio Emilia, dove il giovane Orjol Lame è ricoverato in condizioni critiche hanno riscontrato diverse sostanze stupefacenti e alcool nel sangue È risultatopositivoagli esami tossicologici Orjol Lame, il 32enne alla guida dell'auto che domenica sera si èschiantatacontro un rustico disabitato sulla via Emilia, fra Villa Gaida e Cadè, a Reggio Emilia.;Reggio Emilia, via Emilia, Villa Gaida, Cadè;1;44.8133637;10.3191794;Via Reggio, Cornocchio, Pablo, Parma, Emilia-Romagna, 43121, Italia
70;Il 32enne Orjol Lame, compagno di Shane e papà di Mattias alla guida della Fiat Stilo, è ancora in Rianimazione: disposti gli esami tossicologici e controlli sul veicolo Dopo il terribileincidentein via Emilia a Cade' che domenica 30 ottobre ha stroncato la vita di quattro persone -Rejana e ResatHyseni, di 8 e 11 anni, Shane HysenieMattias Lame, figlio di Shane di un anno e quattro mesi - la Procura della Repubblica di Reggio Emilia ha aperto un fascicolo con l'ipotesi di reato di omicidio stradale.;via Emilia, Cade';1;44.8191185;10.2416171;Via Emilia, Calestani, San Pancrazio, Fraore, Parma, Emilia-Romagna, 43126, Italia
71;L'incidente è avvenuto alle ore 19.30 del 1 novembre Grave incidente stradale nel tardo pomeriggio del 1° novembre in via Matteotti a Salsomaggiore Terme.;via Matteotti, Salsomaggiore Terme;1;44.7153607;10.2254761;Via Matteotti, Sala Baganza, Parma, Emilia-Romagna, 43038, Italia
73;L'incidente si è verificato verso le ore 7: sul posto ambulanza e automedica Grave incidente stradale nelle prime ore della mattinata di lunedì 31 ottobre a Sissa, lungo via Don Minzoni.;Sissa, via Don Minzoni;1;44.9601314;10.2598395;Sissa, Sissa Trecasali, Parma, Emilia-Romagna, 43018, Italia
74;Rejana e Resat Hyseni vivevano nella nostra città con i genitori e frequentavano l'Istituto Comprensivo Albertelli-Newton: ieri sera erano andati a cena con la sorella 22enne Shane Hyseni, morta nell'incidente insieme al figlio di un 1 anno e mezzo Mattias Lame I due fratellini di 11 e 8 anni, Rejana e Resat Hyseni, morti ieri sera nel tragicoincidente stradalelungo la via Emilia a Cadè, erano di Parma.;la via Emilia, Cadè;1;44.8098944;10.3217529;EFSA, 1a, Via Carlo Magno, Cornocchio, Pablo, Parma, Emilia-Romagna, 43126, Italia
75;"I residenti tra San Prospero e Il Moro denunciano da anni le condizioni di scarsa sicurezza: ""E' una strada di incidenti e morte"".";San Prospero, Il Moro;1;44.778375;10.398808;San Prospero Parmense, Parma, Emilia-Romagna, 43123, Italia
77;Gianfranco Guarnieri non ce l'ha fatta Non ce l'ha fatta Gianfranco Guarnieri, il 70enne residente al confine tra i comuni di Lugagnano Val D’Arda e Vernasca, in provincia di Piacenza, che nel pomeriggio di giovedì 27 ottobre è rimasto coinvolto in un gravissimoincidentestradale a Salsominore, nel comune di Salsomaggiore Terme.;Lugagnano Val D’Arda, Vernasca, Piacenza, Salsominore, Salsomaggiore Terme;1;44.8075971;10.3098696;Viale Piacenza, Cornocchio, Pablo, Parma, Emilia-Romagna, 43125, Italia
78;L'incidente si è verificato poco dopo le ore 5 in via Matteotti Paura nella notte tra venerdì 28 e sabato 29 ottobre a Noceto.;via Matteotti, Noceto;1;44.7153607;10.2254761;Via Matteotti, Sala Baganza, Parma, Emilia-Romagna, 43038, Italia
79;L'incidente a pochi metri dal centro storico Auto contro moto alle 19,30 in via San Rocco a Colorno a pochi metri dal centro storico.;via San Rocco, Colorno;0;44.9247611;10.3726417;Via San Rocco, Colorno, Parma, Emilia-Romagna, 43052, Italia
80;L'incidente è avvenuto a Salsominore: il conducente è stato stabilizzato ed intubato sul posto dal personale dell'automedica di Fidenza Gravissimo incidente nel tardo pomeriggio di giovedì 27 ottobre a Salsomaggiore Terme: intorno alle 17:30, nella frazione di Salsominore, uno scooter ha urtato un cinghiale.;Salsominore, Fidenza, Salsomaggiore Terme;1;44.8265011;9.9744974;Salsominore, Salsomaggiore Terme, Parma, Emilia-Romagna, 43039, Italia
81;L'incidente si è verificato alle ore 9 tra via Torrente Vecchio e via Ponte Alto Grave incidente stradale nella mattinata di giovedì 27 novembre a Noceto, tra via Torrente Vecchio e via Ponte Alto.;via Torrente Vecchio, via Ponte Alto, Noceto;1;44.8103571;10.1723462;Via Ponte Alto, Cantone, Noceto, Parma, Emilia-Romagna, 43015, Italia
82;"I dipendenti di Sma Serbatoi e Carbognani: ""Chiediamo aiuto al Comune: ogni mattina arriviamo in autobus e dobbiamo attraversare via Emilio Lepido in un tratto molto pericoloso"" Dopol'investimentodi un operaio di 41 anni nella mattinata del 26 ottobre a San Prospero, che si trova ancora ricoverato presso il reparto di Ortopedia dell'Ospedale Maggiore di Parma con una prognosi di oltre 30 giorni, i lavoratori della Sma Serbatoi di San Prospero e di Carbognani denunciano la situazione di elevata pericolisità di quel tratto di strada, soprattutto per la mancanza di illuminazione e di strisce pedonali.";via Emilio Lepido, San Prospero;1;44.7745279;10.4108251;Via Emilio Lepido, Il Moro, San Lazzaro, San Prospero Parmense, Parma, Emilia-Romagna, Italia
83;L'incidente stamattina intorno alle 7 Pedone investito stamattina poco prima delle 7 a San Prospero mentre attraversava la strada.;San Prospero;1;44.778375;10.398808;San Prospero Parmense, Parma, Emilia-Romagna, 43123, Italia
84;L'incidente è avvenuto alle ore 8 del 25 ottobre: ferita lievemente anche una passeggera che si trovava a bordo del mezzo Momenti di paura nella mattinata di oggi, martedì 25 ottobre, per una donna investita da un autobus mentre si trovava in viale Toschi a Parma.;viale Toschi;1;44.8076878;10.3266617;Viale Paolo Toschi, Parma Centro, Parma, Emilia-Romagna, 43121, Italia
85;L'incidente è avvenuto a mezzanotte Qualche minuto prima di mezzanotte un'auto e una moto si sono scontrate mentre percorrevano strada Buffolara a Parma.;strada Buffolara;1;44.8111537;10.3090817;Strada Buffolara, Cornocchio, Pablo, Parma, Emilia-Romagna, 43125, Italia
87;L'incidente si è verificato oggi pomeriggio Frontale oggi pomeriggio a Busseto, intorno alle 15,30, sulla strada che da Alseno porta nel comune del Parmense: due auto si sono scontrate causando il ferimento di due donne (a bordo della stessa auto), una delle quali è rimasta incastrata.;Busseto, Alseno, Parmense;1;44.9809569;10.0424746;Busseto, Parma, Emilia-Romagna, 43011, Italia
88;Rallentamenti al traffico in corrispondenza dell'uscita di strada Argini Nella serata di giovedì 20 ottobre si è verificato un incidente lungo la tangenziale Sud, all'altezza dell'uscita di strada Argini.;strada Argini;0;44.7302795;10.3531771;Strada Argini, La Palazzina, Cittadella, Botteghino, Parma, Emilia-Romagna, 43022, Italia
