latitudine;longitudine;gravita_calcolata;gravita_opendata;media;differenza
44.71554791489713;10.333617018611934;0.0;0.0;0.0;0.0
44.71554791489713;10.339927282749404;0.0;0.0;0.0;0.0
44.71554791489713;10.346237546886874;0.0;0.0;0.0;0.0
44.71554791489713;10.352547811024344;0.0;0.0;0.0;0.0
44.71554791489713;10.358858075161814;0.0;2.0;1.0;2.0
44.71554791489713;10.365168339299284;0.0;0.0;0.0;0.0
44.71554791489713;10.371478603436755;0.0;0.0;0.0;0.0
44.71554791489713;10.377788867574225;0.0;0.0;0.0;0.0
44.720047301334276;10.23896501269677;0.0;0.0;0.0;0.0
44.720047301334276;10.245275765870963;0.0;0.0;0.0;0.0
44.720047301334276;10.251586519045155;0.0;0.0;0.0;0.0
44.720047301334276;10.257897272219347;0.0;0.0;0.0;0.0
