latitudine;longitudine;grave
44.7268009;10.3069138;1
44.7910478;10.3189925;1
44.7889503;10.3016493;1
44.8040646;10.3523088;1
44.7961204;10.3375003;1
44.7603114;10.3550763;1
44.7880034;10.3213932;1
44.7978150;10.3420642;1
44.7901874;10.3140862;0.5
44.8085044;10.3554643;1
44.8089087;10.3204563;1
44.8093035;10.2894651;1
44.7962540;10.3046909;1
44.7848405;10.2576299;1
44.8021244;10.3270332;1
44.7905054;10.3338972;0.5
44.8225021;10.3357851;1
44.7676643;10.3231365;0.5
44.8127835;10.2722690;1
44.7968934;10.3169442;1
44.8035754;10.3044441;1
44.7904034;10.3280062;1
44.8116184;10.3367253;1
44.7837494;10.3321192;1
